Name,marketcap,earnings,revenue
Bank Mandiri,39621000639,4900650000,8090666728
Old Dominion Freight Line,39619518464,1648240000,5866152000
General Mills,39563595776,3089100000,20173300000
Reckitt Benckiser,39546998631,3749640000,14994697194
Cenovus Energy,39368675328,3751730000,41397891684
Goodman Group,39269877510,1323810000,1284687285
Haleon,39268892672,2573120000,14103118688
Fastenal,39050571776,1530900000,7382700000
Centene,39036936192,4323000000,153999000000
Cummins,39011876864,1626000000,34065000000
Bayan Resources,39000001950,1637230000,3581375403
Kuwait Finance House,38877426272,2636700000,4660463819
CaixaBank,38839440780,7495820000,16591216750
Kotak Mahindra Bank,38716974271,2793540000,8004975662
Wanhua Chemical,38641875374,3235460000,25020905858
Barclays,38565625856,7793440000,31479290043
Fidelity National Information Services,38553485312,-5916000000,12255000000
Pernod Ricard,38506518392,3193030000,13190527425
Adyen,38438081955,113336000,1324119767
Alcon,38310309888,1021000000,9455000000
Titan Company,38184345551,620866000,5718633459
Generali,38160301237,4542810000,86321911708
Corteva,38148362240,1326000000,17226000000
Quanta Services,38080335872,969956000,20882206000
MSCI,37847777280,1575730000,2616667000
Luzhou Laojiao,37838741181,2416140000,4198326238
Imperial Oil,37751889920,4796600000,36047590288
Sysco,37715603456,3274280000,77512288000
Ingersoll Rand,37625511936,1031100000,6876100000
UOB,37395699858,3187460000,7053246436
CoStar Group,37371461632,162179000,2527034000
Otis Worldwide,37367533568,2217000000,14300000000
Experian,37334990848,1174000000,6619000000
Exelon Corporation,37311107072,4431000000,21728000000
Charter Communications,37148934144,12042000000,54607000000
Cheniere Energy,37041848320,14578000000,20394000000
B Communications,37009563028,492297000,2481199703
Japan Post Bank,36938487197,3345720000,12389998934
TC Energy,36934643712,4929480000,11897744424
Mitsubishi Electric,36873797958,2492610000,36867873633
Daimler Truck,36858810299,5785730000,60650854536
Haier Smart Home,36774242855,3074050000,36886290317
Humana,36773289984,3322000000,109243000000
QNB Finansbank,36732298410,1507000000,2942294008
Ambev,36695056384,3029420000,16073767129
Baidu,36613328896,4015100000,18982442007
STMicroelectronics,36543594496,4817000000,17286000000
Royal Caribbean,36435472384,3105970000,13900000000
Wolters Kluwer,36415365282,1433940000,6173576562
Capgemini,36372765390,2547260000,24899944721
Diamondback Energy,36335808512,4423000000,8339000000
Sea (Garena),36265263104,820803000,12898516000
Martin Marietta,36256534528,1658100000,6777200000
CITIC Securities,36130103217,3694060000,8385796096
Kenvue,36100722688,2190000000,15444000000
Deutsche Börse,35974708303,2825520000,6861143260
DMart,35929150210,402032000,5874094551
Exor,35925952775,10129900000,223325518427
GE HealthCare Technologies,35844567040,2903000000,19552000000
3i Group,35196314612,5667180000,5836884352
QNB (Qatar National Bank),35194857495,5995380000,10616022751
Vertiv Holdings,34984411136,533700000,6863200000
Murata Manufacturing (Murata Seisakusho),34930486598,1923670000,11226667544
Thales,34919493262,1554410000,18815717606
Naspers,34846130176,8121000,2531527000
Restaurant Brands International,34746249216,1453000000,7022000000
Arch Capital,34720878592,3385000000,13294000000
E.ON,34699890321,69538900,101888903112
Deutsche Bank,34586415104,8833860000,33939013379
Nasdaq,34482438144,1402000000,6064000000
UltraTech Cement,34465678002,1167420000,8263481116
Woodside Energy,34367373312,3273000000,13994000000
Adani Ports & SEZ,34323589811,1390430000,3070423376
Vulcan Materials,34238607360,1441300000,7782000000
Loblaw Companies,34236925301,2781570000,44410545343
PSEG,34220519424,3081000000,11237000000
Adani Green Energy,34150433681,193853000,1099589376
Beiersdorf,34148063098,1085800000,7394350034
SMC corp,34115253946,1824150000,5498051122
7-Eleven,33964751973,2009050000,81330531825
Partners Group,33964059368,1222560000,1963520242
Electronic Arts,33886613504,1510000000,7657000000
Halliburton,33831778304,3962000000,23145000000
NatWest Group,33693747200,7710330000,18468030344
Powergrid Corporation of India,33668968657,3303390000,5404273707
Las Vegas Sands,33639763968,2962000000,11211000000
Coal India,33577126145,4883000000,15887935123
Kia,33533237289,9758440000,75811556406
Flutter Entertainment,33290698752,-59389600,9324412770
Coca-Cola European Partners,33203968000,1567990000,13511781999
Asian Paints,33071088462,899929000,4291683342
Devon Energy,33029525504,4992000000,15258000000
CDW Corporation,33018247168,1676800000,21376000000
Monolithic Power Systems,33012107264,505841000,1821072000
Baker Hughes,32937553920,2729000000,26209000000
Muyuan Foods,32929798676,2048520000,18066469724
ASM International,32874606204,1184470000,2774049645
Cognizant Technology Solutions,32800219136,2787000000,19353000000
Gartner,32794265600,1147130000,5906956000
Gree Electric Appliances,32763548466,4621320000,27916038968
LyondellBasell,32725012480,3104000000,41107000000
EQT,32652118937,264677000,2304588170
Bank of China (Hong Kong),32652087717,4486070000,9018174825
Delta Air Lines,32525389824,7046000000,59037000000
Anta Sports,32492605925,1646390000,7779002160
Veeva Systems,32469059584,429332000,2363673000
Consolidated Edison,32340469760,3003000000,14663000000
Sumitomo,32329128490,4974650000,48055610376
Hapag-Lloyd,32310902382,3294310000,19453431631
WEG ON,32275071002,1329970000,6560371108
BTG Pactual,32262118440,2927910000,6476089048
Xylem,32031817728,635000000,7364000000
Dubai Electricity and Water Authority (DEWA),31996294996,2574980000,7943184450
Ashtead,31942842779,2158100000,10674900000
Discover Financial Services,31874371584,3837000000,15871000000
Trip.com,31824443392,1968830000,5536620199
Swiss Re,31777709728,4372000000,43745000000
HubSpot,31767492608,-157702000,2170230000
Agnico Eagle Mines,31736166400,2359070000,6626909000
Kühne + Nagel,31647431399,1941320000,25457192325
Biogen,31628034048,1323300000,9663100000
Disco Corp.,31600095852,714141000,1995637374
Hindustan Aeronautics,31597999089,887690000,3405727444
Rockwell Automation,31568949248,1400200000,9129100000
Henkel,31515624620,3251390000,22494502907
Ryanair,31489181696,1835220000,12678255541
Global Payments,31448154112,1830100000,9654419000
Verisk Analytics,31296897024,1027200000,2681400000
ResMed,31296335872,1215230000,4504077000
Shanghai Pudong Development Bank,31218843419,6093000000,25217626824
Kuaishou Technology,31029680314,962654000,16004010650
Mahindra &amp; Mahindra,30980818542,2716410000,16228162425
Bajaj Finserv,30855675929,4485110000,12076386494
Japan Post Holdings,30839075828,4265480000,78615665234
Dollar General,30830827520,2119520000,38691609000
China State Construction Engineering,30814301466,13112100000,319498062907
ON Semiconductor,30778798080,2535800000,8253000000
Cloudflare,30771269632,-171990000,1296745000
Quanta Computer,30767998037,1945150000,34912613790
Banco do Brasil,30753192936,10640800000,28923557981
DSV,30750977948,2447620000,21504886700
Dupont De Nemours,30609285120,504000000,12068000000
China Pacific Insurance,30565565479,43811300000,45821565824
PPG Industries,30499069952,1933000000,18177000000
Bridgestone,30427092577,3941800000,30390332401
Assa Abloy,30426900480,1901980000,13519817446
Mitsubishi Heavy Industries,30335293686,2320900000,32001454122
Foshan Haitian Flavouring and Food,30154863345,995842000,3579568461
DSM-Firmenich,30128457515,-529574000,11749032615
Marubeni,30110951296,3775010000,51066914467
Hannover Rück,30094309547,2669960000,28435386524
VICI Properties,30058078208,3366540000,3611988000
Sun Life Financial,29888684032,3340390000,24593039889
Extra Space Storage,29886298112,1309830000,2560244000
Xcel Energy,29882320896,2645000000,14206000000
Bajaj Auto,29811243628,1210140000,5277853190
Renesas Electronics,29789287926,3036440000,10349551234
KBC,29770518528,4528670000,11684212798
Tractor Supply,29744979968,1432400000,14555741000
Toyota Industries,29715731293,2510790000,26356646314
Intact Financial,29699332124,1350290000,17397860160
BCE,29696421888,2475170000,18423813217
Hexagon,29594306560,1324050000,5897782271
Barrick Gold,29503436800,3143000000,11397000000
Chunghwa Telecom,29493825536,1512290000,7129285486
Orange,29467144192,-6691920000,53322441152
Banorte,29250426661,4288620000,11725412767
Emirates NBD Bank PJSC,29241127951,7881900000,11754262482
Archer Daniels Midland (ADM),29202665472,4941000000,93935000000
Corning,29081968640,816000000,12588000000
Dr. Sulaiman Al Habib Medical Services Group Company,29000934424,597736000,2537218436
Nestlé India,28993391611,501874000,2267241862
Luxshare Precision,28951586682,2082770000,32720426443
Banco Bradesco,28938407936,1787570000,20167243714
Ping An Bank,28922820311,8052210000,22041311343
Bayer,28896682877,612179000,51734351754
Wipro,28865769472,1999170000,11125092660
Ahold Delhaize,28862491002,2497940000,96191422248
Singtel,28850863972,1143640000,12035185178
Mitsui Fudosan,28774892811,2283150000,16527622169
MS&amp;AD Insurance,28736892557,3457490000,44758094178
Jio Financial Services,28725462863,5339800,2580983
Ansys,28712970240,592138000,2269949000
Wabtec,28672260096,1439000000,9980000000
The People's Insurance Company (PICC),28665206148,2864860000,80561797416
Komatsu,28643818309,3993550000,26823692752
The Hartford,28618733568,3545000000,24841000000
Swisscom,28597577033,2480120000,12433372063
Indian Oil,28595673577,5391240000,94876813194
Fujitsu,28525701020,1741380000,26313169099
East Money Information,28454716694,1296970000,495939548
Adani Power,28329650027,2561660000,5713442616
Celltrion,28326514124,513083000,1649994830
FICO,28286441472,566311000,1550746000
Amadeus IT Group,27920683220,1467490000,5901534907
Garmin,27887951872,1200360000,5228251000
Fanuc,27862945138,1325570000,5734461959
CITIC limited,27788978370,18955500000,125938647947
Publicis Groupe,27738887821,-243707000,5976702733
Equifax,27687628800,732200000,5352600000
Chocoladefabriken Lindt &amp; Sprüngli,27681646916,936654000,6186314984
Telstra,27668439911,1895220000,14804983318
Jardine Matheson,27664770000,3223000000,37724000000
Great-West Lifeco,27640737525,2270880000,20395011498
Michelin,27632902888,2844510000,30619129727
Fubon Financial,27610724884,2365410000,5493737633
Aena,27591383085,2603750000,5470791523
HP,27583381504,3705000000,53111000000
Howmet Aerospace,27578103808,975000000,6640000000
National Bank of Canada,27530224072,2979070000,7618965058
Antofagasta,27378736197,2558900000,5862000000
Legrand,27344343222,1811190000,9134066132
Coloplast,27344009794,1002190000,3639302121
Edison International,27331514368,3127000000,16338000000
Skandinaviska Enskilda Banken,27300557438,4574820000,7709998488
Vestas Wind Systems,27247311615,371022000,16685359286
Blue Owl Capital,27247214592,322080000,1731608000
AvalonBay Communities,26993633280,938591000,2767908000
GlobalFoundries,26991001600,1911000000,7639000000
CBRE Group,26983886848,1237210000,31948998000
Nidec,26977835020,1318540000,16177509401
Sun Hung Kai Properties,26960948185,3638570000,9082385059
Canon,26922133365,2860290000,30041803703
Fortive,26879174656,1154400000,6129100000
MongoDB,26800025600,-163516000,1683011000
Mettler-Toledo,26698942464,1051090000,3788309000
Schindler Group,26668255374,1268600000,12565218426
Maybank,26667982848,2727970000,5657695095
West Pharmaceutical,26632855552,667500000,2928600000
Vistra,26632468480,2000000000,14778000000
DNB,26576184504,4666240000,7635549399
DLF,26480290249,211226000,694228772
Splunk,26443769856,120539000,3980553000
Verbund AG,26403446492,3997860000,11286683364
Ferrovial,26347435481,717755000,9233647173
Nutrien,26345564160,1952000000,29056000000
Li Auto,26195845120,1468650000,17430546648
eBay,26183155712,3970000000,10112000000
Church & Dwight,26162468864,967400000,5867900000
Snap,26125379584,-1270750000,4812280000
Zscaler,26123995136,-101692000,1895508000
Keysight,26061211648,1334000000,5342000000
RWE,26017294544,4294410000,31039114385
PTT PCL,26011904376,7954920000,89359984126
Great Wall Motors,25983404520,1227890000,24383732315
Novozymes,25975616679,568080000,2605353646
H&amp;M,25964890028,1335610000,22172965428
WEC Energy Group,25957328896,1536300000,8893000000
China Resources Land,25943755724,8048450000,30022346127
Fairfax Financial,25943627534,5908300000,25803100000
CRRC,25932575782,2454300000,32972434576
Fujifilm,25892260375,2164010000,20612919626
Teck Resources,25820311552,2938260000,11209369384
JSW Steel,25785902007,1890480000,20978857823
Dollar Tree,25724174336,-881900000,30603800000
Targa Resources,25706131456,1942400000,16060300000
Willis Towers Watson,25702846464,1514000000,9483000000
Techtronic Industries,25666115603,1156900000,13253917000
Delta Electronics,25559119254,1599290000,12893685054
Raymond James,25546356736,2258000000,11689000000
Tesco,25541128192,1206160000,79319245429
DiDi,25534259200,-56405900,24556356024
Terumo,25466789071,910143000,6229866522
Sandvik,25458252368,1871730000,11727133117
KONE,25434880137,1355800000,11865765972
Woolworths Group,25426544048,1537100000,42560768946
Hang Seng Bank,25318334754,2574920000,5269467213
Telefónica,25307512832,-1664580000,44095665732
Transurban,25300753606,43690100,2751813801
HEICO,25247178752,679083000,3243553000
UCB,25163911450,487562000,5806522941
Yili Group,25158037549,2013650000,17990420720
Airports of Thailand,25152236892,552872000,1561368871
Fifth Third Bank,25082222592,2989000000,8526000000
Associated British Foods,25035553349,1633870000,24081254420
Danske Bank,24988322178,3885340000,8228446124
ICON plc,24983322624,708919000,8231984000
Siemens India,24949582770,329055000,2432148079
Cardinal Health,24926517248,1194000000,216148000000
COSCO Shipping,24888748010,4658580000,24774842050
Dover,24882386944,1916050000,8453052000
Klabin,24875912187,986122000,3567982681
Zimmer Biomet,24790923264,1067300000,7394300000
Tata Steel,24702902014,953242000,28190907720
Naturgy,24688955026,554188000,18558655532
T. Rowe Price,24676884480,2490300000,6460500000
Indian Railway Finance,24645865529,1353320000,3189462095
Equity Residential,24536365056,1075260000,2873964000
Take 2 Interactive,24525955072,-1611100000,5396400000
S.F. Express,24511161943,1477680000,36458940759
Philips,24445687808,-248982000,19722157840
Prudential,24424032256,0,129287114544
First Citizens BancShares,24328108032,12077000000,8777000000
M&T Bank,24259182592,3619000000,9398000000
Rocket Companies,24245059584,-402897000,3645883000
Rheinmetall,24228270280,884733000,7457433116
Ecopetrol,24166281216,8628760000,34251231175
Ørsted,24147439616,-2680600000,9368789308
China Everbright Bank,24074379747,7021690000,20556673024
Cheniere Energy,23960029184,14578000000,20394000000
AppLovin,23872772096,380570000,3283087000
ORIX,23844927488,2772210000,12094185939
PulteGroup,23785474048,3616260000,16435098000
American Water Works,23764387840,1656000000,4234000000
SAIC Motor,23759454626,3654040000,104934709352
Evolution Gaming,23715881022,1294300000,2024285823
Telus,23706945536,814921000,14936735168
CGI,23659106304,1648510000,10787658467
Vonovia,23656055260,-9197110000,5659184486
Wheaton Precious Metals,23633969152,539059000,1016046000
Delta Electronics (Thailand),23560872189,552543000,4153540536
Dollarama,23548664885,1128200000,4345165708
Cellnex Telecom,23542707274,343294000,4118383635
Advantest,23491957732,700256000,3528569632
Uniper,23473315880,8036270000,117386524713
SMIC,23460381725,1396870000,6321560000
Mitsubishi Estate,23448141589,1600940000,9937329839
Cemex,23445491712,1400780000,17517334000
National Bank of Kuwait,23407119142,2149710000,3894153749
Axon Enterprise,23371737088,161995000,1563391000
Otsuka Holdings,23298898279,1050820000,14195842101
Kaspi.kz Joint Stock Company,23295026382,2329740000,4497512077
Franco-Nevada,23289311232,-364100000,1219000000
China Unicom,23281651408,2874540000,50718682162
Brown &amp; Brown,23150809088,1215800000,4321500000
Pinterest,23132669952,-125678000,3055071000
Varun Beverages,23055299921,332478000,1893888661
Brown Forman,23000578048,1342000000,4260000000
Roblox,22947221504,-1119210000,2799274000
Western Digital,22895761408,-2200000000,11257000000
NVR,22889113600,1956110000,9534889000
Symbotic,22866460672,-157629000,1339029000
Vodafone,22842064896,-7808360000,69899738200
Broadridge Financial Solutions,22837168128,1023900000,6320800000
SSE,22833125244,-254682000,15472574571
Entergy,22790352896,2678180000,12147412000
Maersk,22785093131,-4693000000,51065000000
DTE Energy,22750652416,1405000000,12206000000
Cathay Financial Holding,22743296478,1842800000,8782805983
Iron Mountain,22673907712,825609000,5480289000
Central Japan Railway,22664171842,3528320000,11646672296
Builders FirstSource,22636597248,1984200000,17097330000
Suzuki Motor,22616103958,3158680000,35742613953
Toyota Tsusho,22586396853,3619520000,71794234526
BOE Technology,22487399834,253699000,24609996840
China Minsheng Bank,22399430545,5298980000,19882087473
Hewlett Packard Enterprise,22370072576,2090000000,28081000000
The Saudi British Bank,22365060388,2194250000,3390686346
Weyerhaeuser,22344372224,1217000000,7674000000
Argenx,22333614080,-304496000,1226316000
Mobileye,22284224512,8000000,2079000000
Veolia,22276020701,-14382400000,46849260997
Tradeweb,22177269760,561924000,1417709000
Standard Chartered,22141158123,5093000000,17718000000
Riyad Bank,22131921116,2393730000,4200172294
Ball Corporation,22122399744,814000000,14029000000
LG Chem,22113951202,2086360000,43131895095
Alinma Bank,22100591114,1439760000,2584650772
NTT Data,22087457390,2099300000,30048545390
ASE Group,22073157632,1628170000,19261831157
FirstEnergy,22051700736,1466000000,12926000000
State Street Corporation,22035419136,2316000000,11945000000
Genuine Parts Company,22034315264,1663120000,23109123000
Shenzhen Inovance,22002490374,734447000,4484441256
Dai-ichi Life Holdings,21962500923,2876080000,64460644867
Epiroc,21957992406,1120890000,5708940989
POSCO,21910026240,1798210000,59647393280
Rollins,21900982272,594406000,3163612000
International Flavors & Fragrances,21843818496,-2518000000,11479000000
Align Technology,21808787456,656654000,3862260000
Swedbank,21800129826,4197400000,6877351297
Fleetcor,21790322688,1325010000,3757719000
Tencent Music,21716992000,852584000,3916316589
Société Générale,21657939175,5573130000,59693857617
Hindustan Zinc,21635369042,1357960000,3386307368
Tyson Foods,21591904256,-575000000,52940000000
BioNTech,21544916992,1007330000,4155844142
Straumann,21542575396,411082000,2868621091
China Tourism Group Duty Free,21223840751,1212500000,9139415385
Sungrow Power Supply,21201481240,1743730000,10097852793
Deckers Brands,21185120256,929592000,4119576000
PTC,21149345792,331741000,2181357000
NetApp,21120620544,1261000000,6181000000
Formosa Petrochemical,21115505888,774261000,22912935089
Invitation Homes,21093982208,521028000,2432278000
CTBC Financial Holding,21065951480,2141970000,4198296447
Eversource Energy,21043619840,580404000,11910648000
Prada,21040427079,761435000,5071162537
Coca-Cola FEMSA,21029308416,2037380000,14813935532
Coterra Energy,21009823744,2219000000,5914000000
KB Financial Group,20962033664,4762670000,13685305935
Bank of Ningbo,20915564643,3937740000,8655211411
East Japan Railway,20827087251,2512670000,18898730744
Nippon Steel,20763342843,5329650000,60926242180
Yankuang Energy (Yanzhou Coal Mining),20732055968,5858510000,21167532489
China Tower,20707327238,1761810000,13344857418
Saudi Electricity,20696788053,2827410000,20100540836
Live Nation,20689885184,1244790000,22749073000
Pembina Pipeline,20678305792,1988300000,6872842092
SBA Communications,20667658240,548501000,2711584000
W. R. Berkley,20665735168,1881860000,12111139000
Baxter,20600539136,-47000000,14949000000
Alexandria Real Estate Equities,20566241280,479741000,2966858000
MTR Corporation,20552241158,1506430000,6130333045
Steel Dynamics,20552062976,3295430000,18795316000
Panasonic,20543210462,3175830000,59640274803
SM Investments Corporation,20515248128,2649780000,10317058730
Bharat Electronics,20491963884,577499000,2234968186
Bank of Jiangsu,20481588702,5481920000,10649364544
Samsung SDI,20462656952,1885530000,17246331106
Entegris,20459124736,172670000,3523926000
China Railway Group,20442589307,8148610000,178169191889
McCormick & Company,20439973888,833500000,6699400000
ArcelorMittal,20438894592,2218000000,68275000000
China Overseas Land &amp; Investment,20406715437,5220740000,26145307167
Sampo,20386008018,1706780000,9517809494
Industries Qatar,20360576844,1306140000,3227244185
LPL Financial,20325314560,1631580000,10052848000
Rogers Communication,20297304064,2376580000,15213864346
Weichai Power,20224356248,1852970000,30196812091
Nokia,20214538240,1994140000,22815775982
PPL,20195139584,924000000,8312000000
WiseTech Global,20188274253,199253000,540764179
Steris,20183746560,682478000,5407384000
Naver,20172503446,1120910000,7348890969
DraftKings,20159191040,-788574000,3665393000
Zomato,20107360594,-1519330,1282738597
Hubbell,20040595456,983300000,5372900000
China Securities,20035403291,1185500000,3280870676
Molina Healthcare,19959500800,1544000000,35854000000
CLP Group,19934239262,1363090000,11164062500
ČEZ Group,19913217700,4189400000,15831818512
Illumina,19911653376,-1040000000,4504000000
Cameco,19875127296,361984000,1932768488
Lasertec,19871034645,538352000,1344282554
Imperial Brands,19848159723,3793250000,39596898091
Erie Indemnity,19834081280,610090000,3648265000
Kellogg's,19832274944,1040000000,13122000000
Galaxy Entertainment,19827051356,-429822000,1471140558
YANGHE,19782614076,1977860000,4830604073
Samsara,19777538048,-249920000,937385000
Emaar Properties,19760494652,4283470000,7284504611
Carnival Corporation,19754799104,410000000,22568000000
EnBW Energie,19742889038,3075570000,48288208081
Ameren,19689832448,1906000000,7500000000
MicroStrategy,19643582464,-124525000,496261000
Huntington Bancshares,19642556416,2384000000,7417000000
Talanx,19639132340,3065490000,14823006260
Tyler Technologies,19627937792,244462000,1992256000
Grasim Industries,19622138619,1596500000,15250904429
Sompo Holdings,19620494048,3482080000,32722593136
United Microelectronics,19582904320,2247180000,7156261131
ULTA Beauty,19558959104,1695650000,11207303000
Elm Company,19519200000,394688000,1573943474
NEC Corp,19512806630,1458690000,24339634131
FirstRand,19505258000,2715170000,7029200779
Hormel Foods,19448399872,1091200000,12135929000
Tenaris,19405582336,4632790000,14868860000
Aptiv,19392931840,1622000000,20051000000
Freddie Mac,19392286720,13199000000,21229000000
Endesa,19387392329,1144930000,27188946536
Itaúsa,19366290571,3183290000,-966672770
Fortis,19340365824,1544080000,8594545677
Kaō,19315473734,466358000,10785519924
WSP Global,19293505113,742483000,10780589836
Telkom Indonesia,19287410688,2930790000,9756835427
Ajinomoto,19191235072,1099270000,9864280072
Inpex,19169617461,8948400000,15296676254
Erste Group Bank,19155082963,5196250000,11190345920
PKN Orlen,19147886647,10066100000,84472942806
Westlake Chemical,19125008384,700000000,12548000000
Sany Heavy Industry,19117411817,903525000,11046528956
Repsol,19092947051,6470790000,81171240036
Cboe,19065837568,1110000000,3773500000
Carlsberg,19062609947,-264781000,9708222870
Booz Allen Hamilton,19060336640,559141000,10323830000
LONGi Green Energy Technology,19050822114,2452760000,19327220412
Kubota,19045902963,2424580000,21314142848
First Solar,19040454656,891290000,3318602000
Seres Group,19008845978,-635230000,3940961097
KE Holdings,19007186944,925322000,10552775282
Markel,18991175680,2653710000,15713585000
Zoom,18974914560,832312000,4527224000
Trent Limited,18963911421,128575000,1351281308
Ems-Chemie,18906930964,656580000,2643330808
Swiss Life,18896652268,2418270000,23034206538
Bolloré,18867877800,-189455000,22144302957
Principal,18854049792,738800000,13665800000
PKO Bank Polski,18835629270,2029100000,5830325408
CK Hutchison Holdings,18734346096,6658720000,33656697759
UPM-Kymmene,18728366170,606717000,11157610712
Moncler,18723617725,276329000,971828410
Carlisle Companies,18703222784,1044700000,5092000000
Domino's Pizza,18660206592,889411000,4482321000
Budweiser APAC,18629276429,974000000,6124000000